recipient_unique_id,transaction_id,action_date,last_modified_date,fiscal_year,award_id,generated_pragmatic_obligation,total_obligation,total_subsidy_cost,total_loan_value,total_obl_bin,federal_action_obligation,original_loan_subsidy_cost,face_value_loan_guarantee,recipient_id,recipient_hash,awarding_agency_id,funding_agency_id,type,action_type,award_category,fain,uri,piid,transaction_description,modification_number,pop_country_code,pop_country_name,pop_state_code,pop_county_code,pop_county_name,pop_zip5,pop_congressional_code,recipient_location_country_code,recipient_location_country_name,recipient_location_state_code,recipient_location_county_code,recipient_location_county_name,recipient_location_congressional_code,recipient_location_zip5,naics_code,naics_description,product_or_service_code,product_or_service_description,pulled_from,type_of_contract_pricing,type_set_aside,extent_competed,cfda_number,cfda_title,recipient_name,parent_recipient_unique_id,awarding_toptier_agency_name,funding_toptier_agency_name,awarding_subtier_agency_name,funding_subtier_agency_name,awarding_toptier_agency_abbreviation,funding_toptier_agency_abbreviation,awarding_subtier_agency_abbreviation,funding_subtier_agency_abbreviation,business_categories
072146293,101911808,2019-09-21,2018-10-03,2019,69669664,43960000.80,43960000.80,,,25M..100M,43960000.80,0.00,0.00,142889944,f68bd5e9-4581-b943-76f4-930df4cdfbd0,154,154,05,C,grant,FCC-680-2015/017-00-D,,,THE FOOD FOR PROGRESS PROGRAM PROVIDES FOR THE DONATION OF U.S. COMMODITIES TO DEVELOPING COUNTRIES AND EMERGING DEMOCRACIES THAT ARE COMMITTED TO INTRODUCING OR EXPANDING FREE ENTERPRISE IN THEIR AGRICULTURAL ECONOMIES. THE PROGRAM HAS TWO PRIMARY STRATEGIC OBJECTIVES: (1) INCREASE AGRICULTURAL PRODUCTIVITY AND (2) EXPAND TRADE OF AGRICULTURAL PRODUCTS.,4,BEN,BENIN,,,,,,USA,UNITED STATES,DC,001,DISTRICT OF COLUMBIA,98,20036,,,,,,,,,10.606,Food for Progress,TECHNOSERVE  INC.,072146293,Department of Agriculture,Department of Agriculture,Foreign Agricultural Service,Foreign Agricultural Service,USDA,USDA,FAS,FAS,nonprofit
004792719,106102857,2018-11-11,2018-11-11,2019,73547811,100870.55,100870.55,,,<1M,100870.55,0.00,0.00,148494903,c65aefe1-f6dc-dba9-6689-ef7675601b91,214,214,C,,contract,,,140D8019F0245,HELICOPTER MAINTENANCE SERVICES IN SUPPORT OF U.S PARK POLICE  WASHINGTON DC,0,USA,UNITED STATES,DE,003,NEW CASTLE,19709,00,USA,UNITED STATES,DE,003,NEW CASTLE,00,19709,488190,Other Support Activities for Air Transportation,J016,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,AWARD,J,,A,,,SUMMIT AVIATION INC,828932710,Department of the Interior,Department of the Interior,Departmental Offices,Departmental Offices,DOI,DOI,"","",corporate_entity_not_tax_exempt category_business special_designations other_than_small_business us_owned_business
198227881,106098616,2018-11-11,2018-11-11,2019,73544653,15000.00,15000.00,,,<1M,15000.00,0.00,0.00,148490662,db7b888c-6458-eaad-691f-1eb96fd19019,828,828,A,,contract,,,75H70719F05006,WELCH ALLYN INC. - MEDICAL SUPPLIES WOMEN'S HEALTH - SFSU,0,USA,UNITED STATES,NM,049,SANTA FE,87505,03,USA,UNITED STATES,NY,067,ONONDAGA,24,13153,339112,Surgical and Medical Instrument Manufacturing,6515,MEDICAL AND SURGICAL INSTRUMENTS  EQUIPMENT  AND SUPPLIES,AWARD,J,,A,,,WELCH ALLYN  INC.,050656982,Department of Health and Human Services,Department of Health and Human Services,Indian Health Service,Indian Health Service,HHS,HHS,IHS,IHS,corporate_entity_not_tax_exempt category_business special_designations other_than_small_business us_owned_business
123456787,106102874,2018-11-11,2018-11-11,2019,73547815,56224.65,56224.65,,,<1M,56224.65,0.00,0.00,148494920,b26f3534-8012-76c7-1b87-c1a5e7f287e5,315,315,C,,contract,,,19AS2019F0035,USG TASK ORDER #9 VVIP CAIRNS PULLMAN HOTEL - USSS,0,AUS,AUSTRALIA,,,,,,USA,UNITED STATES,DC,001,DISTRICT OF COLUMBIA,00,20405,561110,Office Administrative Services,V231,TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING  HOTEL/MOTEL,AWARD,J,,A,,,MISCELLANEOUS FOREIGN AWARDEES,123456787,Department of State,Department of State,Department of State,Department of State,DOS,DOS,DOS,DOS,foreign_owned_and_located_business category_business special_designations other_than_small_business
009671421,106102858,2018-11-11,2018-11-11,2019,73547812,128575.95,128575.95,,,<1M,128575.95,0.00,0.00,148494904,0ccc0e7a-0357-1736-dc96-b87e81efa907,214,214,C,,contract,,,140D8019F0246,FLEET AIRCRAFT MAINTENANCE AND REPAIRS,0,USA,UNITED STATES,ID,001,ADA,83705,01,USA,UNITED STATES,ID,001,ADA,01,83705,488190,Other Support Activities for Air Transportation,J016,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,AWARD,J,,D,,,TURBO AIR INC,009671421,Department of the Interior,Department of the Interior,Departmental Offices,Departmental Offices,DOI,DOI,"","",small_business us_owned_business veteran_owned_business corporate_entity_not_tax_exempt category_business special_designations
152799920,106102852,2018-11-11,2018-11-11,2019,73547806,28200.04,28200.04,,,<1M,28200.04,0.00,0.00,148494898,09758a0f-ae57-f944-a159-acca0ec3f73f,214,214,C,,contract,,,140D8019F0240,FLEET AIRCRAFT MAINTENANCE AND REPAIRS,0,USA,UNITED STATES,FL,069,LAKE,34788,11,USA,UNITED STATES,FL,069,LAKE,11,34788,488190,Other Support Activities for Air Transportation,J016,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,AWARD,J,,D,,,BRAINERD HELICOPTERS  INC.,152799920,Department of the Interior,Department of the Interior,Departmental Offices,Departmental Offices,DOI,DOI,"","",small_business special_designations us_owned_business veteran_owned_business corporate_entity_not_tax_exempt category_business subchapter_s_corporation
123456787,106102870,2018-11-11,2018-11-11,2019,73538395,0.00,0.00,,,<1M,0.00,0.00,0.00,148494916,b26f3534-8012-76c7-1b87-c1a5e7f287e5,315,315,C,D,contract,,,19AS2019F0020,USG ORDER 19AS2019F0010  PR7843557 VVIP HILTON TO#1 HOTEL CAIRNS NOV 1- 13,P00001,AUS,AUSTRALIA,,,,,,USA,UNITED STATES,DC,001,DISTRICT OF COLUMBIA,00,20405,561110,Office Administrative Services,V231,TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING  HOTEL/MOTEL,AWARD,J,,A,,,MISCELLANEOUS FOREIGN AWARDEES,123456787,Department of State,Department of State,Department of State,Department of State,DOS,DOS,DOS,DOS,foreign_owned_and_located_business category_business special_designations other_than_small_business
123456787,106102871,2018-11-11,2018-11-11,2019,73538396,0.00,19832.24,,,<1M,0.00,0.00,0.00,148494917,b26f3534-8012-76c7-1b87-c1a5e7f287e5,315,315,C,D,contract,,,19AS2019F0022,USG TASK ORDER 19AS2019F0021 HARBOUR LIGHTS CAIRNS #2,P00001,AUS,AUSTRALIA,,,,,,USA,UNITED STATES,DC,001,DISTRICT OF COLUMBIA,00,20405,561110,Office Administrative Services,V231,TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING  HOTEL/MOTEL,AWARD,J,,A,,,MISCELLANEOUS FOREIGN AWARDEES,123456787,Department of State,Department of State,Department of State,Department of State,DOS,DOS,DOS,DOS,foreign_owned_and_located_business category_business special_designations other_than_small_business
064677243,106098436,2018-11-11,2018-11-11,2019,69202488,0.00,25000.00,,,<1M,0.00,0.00,0.00,148490482,0b8b29ca-67ae-1734-dd65-7744f8a1afbb,825,825,,M,,,,HHSF223200950009I,ENTERPRISE SYSTEM LIFECYCLE MANAGEMENT SUPPORT,3,,,,,,,,USA,UNITED STATES,VA,059,FAIRFAX,08,22102,541519,Other Computer Related Services,D399,OTHER ADP & TELECOMMUNICATIONS SVCS,IDV,1,NONE,A,,,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,967356127,Department of Health and Human Services,Department of Health and Human Services,Food and Drug Administration,Food and Drug Administration,HHS,HHS,FDA,FDA,corporate_entity_not_tax_exempt category_business other_than_small_business
004792719,106102855,2018-11-11,2018-11-11,2019,73547809,189102.08,189102.08,,,<1M,189102.08,0.00,0.00,148494901,c65aefe1-f6dc-dba9-6689-ef7675601b91,214,214,C,,contract,,,140D8019F0243,HELICOPTER MAINTENANCE SERVICES IN SUPPORT OF U.S PARK POLICE  WASHINGTON DC,0,USA,UNITED STATES,DE,003,NEW CASTLE,19709,00,USA,UNITED STATES,DE,003,NEW CASTLE,00,19709,488190,Other Support Activities for Air Transportation,J016,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,AWARD,J,,A,,,SUMMIT AVIATION INC,828932710,Department of the Interior,Department of the Interior,Departmental Offices,Departmental Offices,DOI,DOI,"","",corporate_entity_not_tax_exempt category_business special_designations other_than_small_business us_owned_business
