recipient_unique_id,transaction_id,action_date,last_modified_date,fiscal_year,award_id,generated_pragmatic_obligation,total_obligation,total_subsidy_cost,total_loan_value,total_obl_bin,federal_action_obligation,original_loan_subsidy_cost,face_value_loan_guarantee,recipient_id,recipient_hash,awarding_agency_id,funding_agency_id,type,action_type,award_category,fain,uri,piid,transaction_description,modification_number,pop_country_code,pop_country_name,pop_state_code,pop_county_code,pop_county_name,pop_zip5,pop_congressional_code,recipient_location_country_code,recipient_location_country_name,recipient_location_state_code,recipient_location_county_code,recipient_location_county_name,recipient_location_congressional_code,recipient_location_zip5,naics_code,naics_description,product_or_service_code,product_or_service_description,pulled_from,type_of_contract_pricing,type_set_aside,extent_competed,cfda_number,cfda_title,recipient_name,parent_recipient_unique_id,awarding_toptier_agency_name,funding_toptier_agency_name,awarding_subtier_agency_name,funding_subtier_agency_name,awarding_toptier_agency_abbreviation,funding_toptier_agency_abbreviation,awarding_subtier_agency_abbreviation,funding_subtier_agency_abbreviation,business_categories
00000000.,90730483,2008-11-25,2008-11-25,2009,39313257,71679.00,217187.00,0.00,,<1M,71679.00,0.00,0.00,99680959,b36900b6-34a2-4417-1fb4-5e7e1644c214,1166,,04,B,grant,08SRANJ003,,,078274776    10952728000PO BOX 547                         1027 HOOPER AVE,1,,,,,,,0.0,,,NJ,29.0,OCEAN,0.0,08754,,,,,,,,,94.002,Retired and Senior Volunteer Program,OCEAN COUNTY BD OF SOCIAL SERVICES,,Corporation for National and Community Service,,Corporation for National and Community Service,,CNCS,,CNCS,,local_government government
00000000.,92090107,2005-09-30,2005-09-30,2005,44040803,100000.00,400000.00,0.00,,<1M,100000.00,0.00,0.00,104823189,b36900b6-34a2-4417-1fb4-5e7e1644c214,67,,04,B,grant,1656-RWA,,,EXPIRED: FUNDS ARE USED TO TRAIN FARMERS IN GERANIUM GROWING  STRENGTHEN IKIREZI'S MANAGEMENT AND FINANCIAL STRUCTURES  AND PLAN FOR FUTURE EXPANSION,,,,,,,,,,,00,,,,,,,,,,,,,,,OCEAN COUNTY BD OF SOCIAL SERVICES,,African Development Foundation,,African Development Foundation,,USADF,,USADF,,
000000000,7689713,2005-09-10,2005-10-03,2005,28003455,67030.48,67030.48,,,<1M,67030.48,0.00,0.00,7689799,4a8358e7-2b26-a0de-9bb3-78fcb2905162,315,315,C,,contract,,,SBL41005MP0047,HOUSEHOLD FURNITURE,0,USA,UNITED STATES,NC,081,GUILFORD,27265,06,NAN,,,,,,,,,7195,MISC FURNITURE & FIXTURES,AWARD,J,NONE,,,,CANYON CULVERT CO INC,000000000,Department of State,Department of State,Department of State,Department of State,DOS,DOS,DOS,DOS,
000000000,40165724,2005-07-08,2010-09-17,2005,13475781,-2000.00,28000.00,,,<1M,-2000.00,0.00,0.00,40166294,4a8358e7-2b26-a0de-9bb3-78fcb2905162,195,,B,K,contract,,,DOCAB133R04SE1064,VENUE AND SERVICES FOR IGAC SPECIALTY CONFERENCE,1,GBR,UNITED KINGDOM,,,,,,UNITED KINGDOM,,,,,,,561920,Convention and Trade Show Organizers,R499,OTHER PROFESSIONAL SERVICES,AWARD,J,,G,,,CANYON CULVERT CO INC,000000000,Department of Commerce,,National Oceanic and Atmospheric Administration,,DOC,,NOAA,,other_than_small_business category_business
000000000,40493005,2005-02-23,2013-11-29,2005,32138444,442.88,608.30,,,<1M,442.88,0.00,0.00,40493582,4a8358e7-2b26-a0de-9bb3-78fcb2905162,479,770,B,,contract,,,TPDFIG0500067,,0,USA,UNITED STATES,NJ,005,BURLINGTON,08053,03,USA,,NJ,,,NJ01,,,,S113,TELEPHONE AND-OR COMMUNICATIONS SER,AWARD,NO,NONE,G,,,CANYON CULVERT CO INC,000000000,Department of the Treasury,Department of Homeland Security,Bureau of the Fiscal Service,Office of the Inspector General,TREAS,DHS,"",IG,other_than_small_business category_business
000000000,47532590,2005-02-24,2005-03-01,2005,23520368,97.00,97.00,,,<1M,97.00,0.00,0.00,47533264,4a8358e7-2b26-a0de-9bb3-78fcb2905162,830,830,B,,contract,,,HHSN276200550239P,,0,USA,UNITED STATES,MD,031,MONTGOMERY,20894,08,AUSTRALIA,,,,,,,511130,Book Publishers,7610,BOOKS AND PAMPHLETS,AWARD,J,NONE,G,,,CANYON CULVERT CO INC,000000000,Department of Health and Human Services,Department of Health and Human Services,National Institutes of Health,National Institutes of Health,HHS,HHS,NIH,NIH,other_than_small_business category_business
000000000,529226,2005-02-23,2005-02-23,2005,13465754,3950.00,3950.00,,,<1M,3950.00,0.00,0.00,529229,4a8358e7-2b26-a0de-9bb3-78fcb2905162,195,,B,B,contract,,,DOCAB133F03SE1078,CONSULTING &RESEARCH SERVICES,2,NZL,NEW ZEALAND,,,,,,NEW ZEALAND,,,,,,,541990,All Other Professional  Scientific  and Technical Services,R499,OTHER PROFESSIONAL SERVICES,AWARD,J,NONE,C,,,CANYON CULVERT CO INC,000000000,Department of Commerce,,National Oceanic and Atmospheric Administration,,DOC,,NOAA,,other_than_small_business category_business
000000000,15504820,2004-04-28,2006-01-13,2004,22994293,43091.88,5321817.44,,,1M..25M,43091.88,0.00,0.00,15505019,4a8358e7-2b26-a0de-9bb3-78fcb2905162,1228,1228,D,G,contract,,,HE126004C0005,LEASE OF 68 SCHOOL BUSES,P00017,JPN,JAPAN,,,,,,JAPAN,,,,,,,532112,Passenger Car Leasing,2310,PASSENGER MOTOR VEHICLES,AWARD,J,NONE,A,,,CANYON CULVERT CO INC,000000000,Department of Defense,Department of Defense,Department of Defense Education Activity,Department of Defense Education Activity,DOD,DOD,DODEA,DODEA,other_than_small_business category_business
000000000,49329937,2004-04-27,2004-12-16,2004,31895802,-5425.00,11725.00,,,<1M,-5425.00,0.00,0.00,49330635,4a8358e7-2b26-a0de-9bb3-78fcb2905162,862,,B,M,contract,,,T8282W,PESTICIDE REGISTRATION MAINTENANCE FEE.,4,USA,UNITED STATES,MO,510,ST. LOUIS (CITY),63195,03,USA,,MD,,,MD03,,,,,,AWARD,J,,,,,CANYON CULVERT CO INC,000000000,National Aeronautics and Space Administration,,National Aeronautics and Space Administration,,NASA,,NASA,,
000000000,33182281,2005-10-13,2007-12-01,2006,345458,31.03,40543.03,,,<1M,31.03,0.00,0.00,33182736,4a8358e7-2b26-a0de-9bb3-78fcb2905162,1228,1228,C,D,contract,,,0003,SCHOOL BUS SERVICES,1,ITA,ITALY,,,,,,ITALY,,,,,,,,,V212,TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: MOTOR PASSENGER,AWARD,J,NONE,A,,,CANYON CULVERT CO INC,000000000,Department of Defense,Department of Defense,Department of Defense Education Activity,Department of Defense Education Activity,DOD,DOD,DODEA,DODEA,other_than_small_business category_business
000000000,91405235,2007-09-26,2007-09-26,2007,63193579,276078.00,552156.00,0.00,,<1M,276078.00,0.00,0.00,104063264,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A511430930070001,,,RURAL RENTAL ASSISTANCE PAYMENTS,826,,,,,,,5.0,,,NC,81.0,GUILFORD,13.0,27404,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91408698,2007-09-25,2007-09-25,2007,48326400,47147.00,174685.00,47147.00,895137.00,<1M,0.00,26916.00,280379.00,104066727,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,07,A,loans,A171170930070000,,,MULTI-FAMILY HOUSING PRESERV AND REVITAL                                   PRE-CREDIT REFORM FINANCING & LIQUIDATION,887,,,,,,,17.0,,,IL,201.0,WINNEBAGO,16.0,61107,,,,,,,,,10.447,The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR),CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
000000000,91370128,2007-09-26,2007-09-26,2007,63182642,475600.00,1093880.00,0.00,,1M..25M,475600.00,0.00,0.00,104028156,4a8358e7-2b26-a0de-9bb3-78fcb2905162,158,,06,A,direct payment,A280030930070002,,,RURAL RENTAL ASSISTANCE PAYMENTS,102,,,,,,,1.0,,,MS,3.0,ALCORN,1.0,38835,,,,,,,,,10.427,Rural Rental Assistance Payments,CANYON CULVERT CO INC,,Department of Agriculture,,Rural Housing Service,,USDA,,RHS,,small_business category_business
